COD,HA
1,11.16
2,5.81
3,64.47
4,1.72
5,8.120000000000001
6,26.38
7,1.95
8,6.15
9,7.48
10,21.23
11,19.89
12,245.04
13,26.29
14,18.08
15,129.5
16,217.5
17,21.53
18,6.44
19,32.92
20,4.609999999999999
21,8.73
22,20.0
23,16.6
24,43.22
25,2.54
26,1.8399999999999999
27,3.13
28,3.66
29,242.34
30,5.87
31,6.62
32,4.6
33,24.22
34,19.05
35,25.5
36,22.17
37,30.62
38,4.95
39,6.7
40,21.54
41,11.28
42,9.12
43,14.42
44,5.92
45,5.21
46,17.55
47,36.63
48,3.61
49,4.65
50,6.57
51,22.17
52,8.74
53,602.77
54,40.27
55,8.2
56,4.23
57,8.440000000000001
58,6.58
59,2852.47
60,22.24
61,5.05
62,8.809999999999999
63,30.14
64,12.72
65,9.98
66,9.62
67,12.84
68,269.57
69,11.78
70,39.89
71,30.07
72,6.15
73,4.42
74,4.7
75,36.84
76,7.57
77,3.3
78,17.66
79,5.77
80,6.61
81,18.22
82,35.81
83,16.4
84,4.42
85,5.13
86,38.33
87,21.71
88,4.15
89,6.84
90,4.24
91,5.14
92,82.09
93,22.74
94,4.779999999999999
95,9.72
96,3.17
97,13.69
98,6.57
99,7.29
100,25.85
101,3.42
102,9.29
103,13.16
104,12.69
105,9.41
106,25.95
107,4.35
108,13.51
109,10.81
110,4.75
111,8.46
112,2.17
113,155.43
114,9.36
115,29.96
116,8.2
117,3.15
118,19.89
119,10.45
120,22.61
121,6.32
122,70.01
123,7.03
124,8.379999999999999
125,24.95
126,9.89
127,14.4
128,8.95
129,4.43
130,8.91
131,7.3
132,3.96
133,8.65
134,5.13
135,5.14
136,8.45
137,2.44
138,12.98
139,16.67
140,10.98
141,12.7
142,4.32
143,16.740000000000002
144,1.02
145,13.33
146,2.9699999999999998
147,6.3
148,8.17
149,60.78
150,237.14
151,1.72
152,6.76
153,26.01
154,2.71
155,2.17
156,29.22
157,3.16
158,4.779999999999999
159,1.44
160,11.35
161,1.99
162,13.97
163,3.87
164,6.12
165,6.84
166,108.4
167,10.52
168,2.34
169,4.59
170,4.68
171,2.5300000000000002
172,9.92
173,41.32
174,6.57
175,35.82
176,2.26
177,5.61
178,61.16
179,3.16
180,11.55
181,6.22
182,4.59
183,100.05
184,3.8
185,27.03
186,13.39
187,4.42
188,6.22
189,3.15
190,10.8
191,43.27
192,15.01
193,2.3
194,2.98
195,13.87
196,1.99
197,7.38
198,28.08
199,5.22
200,2.71
201,1.29
202,3.33
203,3.7
204,1.72
205,127.32
206,1580.63
207,6.93
208,365.93
209,14.31
210,268.61
211,6.04
212,17.65
213,74.51
214,7.02
215,3.33
216,13.39
217,33.54
218,16.990000000000002
219,2.62
220,35.84
221,120.0
222,6.3
223,2.09
224,1506.69
225,3.79
226,1.54
227,9.9
228,7.02
229,52.87
230,8.55
231,3.7
232,39.97
233,12.25
234,10.53
235,6.03
236,5.67
237,3.97
238,16.03
239,16.83
240,4.87
241,20.33
242,3.15
243,61.24
244,3.62
245,97.55
246,4.42
247,10.25
248,2.71
249,62.09
250,2.62
251,7.84
252,19.09
253,4.51
254,7.83
255,52.65
256,4.42
257,3.7
258,10.35
259,8.57
260,16.65
261,9.1
262,2.8899999999999997
263,4.33
264,11.06
265,1.21
266,5.14
267,4.96
268,3.51
269,23.13
270,9.91
271,3.15
272,49.89
273,3.87
274,6.31
275,4.59
276,5.68
277,8.27
278,4.96
279,288.43
280,14.76
281,24.81
282,12.79
283,6.93
284,7.83
285,13.13
286,1.54
287,2.8
288,7.19
289,6.85
290,14.31
291,9.71
292,4.859999999999999
293,16.189999999999998
294,1.9
295,2.52
296,10.36
297,7.83
298,5.15
299,5609.75
300,15.74
301,216.4
302,2.8899999999999997
303,4.68
304,11.9
305,44.99
306,19.63
307,8.190000000000001
308,5.94
309,13.33
310,151.91
311,4.51
312,16.64
313,114.52
314,2.98
315,13.93
316,8.190000000000001
317,29.47
318,7.47
319,71.93
320,91.35
321,366.79
322,6.55
323,21.66
324,7.64
325,44.77
326,19.77
327,145.6
328,10.35
329,16.619999999999997
330,5.85
331,5.5
332,101.73
333,9.9
334,8.83
335,1.99
336,5.67
337,4.33
338,67.27
339,140.11
340,42.78
341,1.99
342,13.86
343,4.95
344,18.88
345,5.04
346,2.35
347,6.49
348,4.140000000000001
349,9.18
350,14.65
351,8.99
352,2.7
353,2.79
354,14.12
355,33.87
356,2.98
357,5.5
358,2.08
359,4.41
360,17.26
361,56.72
362,39.03
363,25.89
364,4.77
365,164.15
366,23.41
367,5.4
368,14.94
369,15.11
370,15.03
371,8.559999999999999
372,13.15
373,8.29
374,2.71
375,2.99
376,4.33
377,1.81
378,31.87
379,5.58
380,134.07
381,5.05
382,4.24
383,30.33
384,28.37
385,15.22
386,84.74
387,2.45
388,6.03
389,5.21
390,16.82
391,15.12
392,5.51
393,39.74
394,71.72
395,33.74
396,10.28
397,24.01
398,6.39
399,20.99
400,5.58
401,6.85
402,2.26
403,14.13
404,22.4
405,10.54
406,10.0
407,11.53
408,5.84
409,32.03
410,36.94
411,19.9
412,21.52
413,24.41
414,5.76
415,3.25
416,12.44
417,74.91
418,6.04
419,5.22
420,4.05
421,7.47
422,15.0
423,4.779999999999999
424,4.42
425,18.44
426,6.66
427,88.0
428,91.64
429,4.0600000000000005
430,4.779999999999999
431,9.63
432,3.52
433,4.0600000000000005
434,498.88
435,14.13
436,14.04
437,8.77
438,4.5
439,25.62
440,23.01
441,6.49
442,2.9699999999999998
443,95.02
444,6.04
445,38.23
446,3.47
447,2.98
448,41.35
449,7.2
450,15.29
451,13.31
452,5.24
453,1.24
454,17.47
455,63.85
456,8.11
457,62.64
458,21.68
459,64.15
460,9.45
461,11.88
462,5.85
463,4.59
464,31.41
465,3.24
466,7.21
467,20.41
468,4.49
469,11.79
470,33.07
471,6.67
472,7.43
473,42.09
474,4.779999999999999
475,14.2
476,26.42
477,15.02
478,24.09
479,41.66
480,2.71
481,32.010000000000005
482,1.9
483,17.45
484,6.13
485,42.78
486,1.38
487,276.54
488,11.14
489,4.74
490,6.35
491,4.859999999999999
492,8.370000000000001
493,2.62
494,40.76
495,48.99
496,5.41
497,1.6400000000000001
498,7.29
499,1.42
500,8.64
501,15.19
502,4.59
503,127.82
504,3.25
505,72634.31
506,5.4
507,235.78
508,2.44
509,12.21
510,19.33
511,1.62
512,5.4
513,8.559999999999999
514,19.08
515,2.88
516,17.13
517,11.58
518,3.7
519,7.89
520,13.25
521,10.26
522,21.23
523,4.15
524,9.0
525,4.93
526,43.78
527,16.02
528,6.39
529,8.01
530,3.16
531,48.63
532,16.27
533,32.18
534,10.1
535,19.24
536,2.45
537,9.56
538,7.48
539,49.9
540,5.04
541,5.76
542,14.67
543,59.12
544,24.31
545,8.29
546,4.24
547,14.17
548,19.22
549,4.04
550,52.51
551,37.2
552,3.16
553,4.41
554,12.32
555,111.34
556,4.23
557,7.21
558,13.77
559,1.02
560,3.89
561,3.34
562,82.54
563,306.93
564,161.07
565,108.99
566,23.38
567,77.46
568,43.69
569,6.3
570,17.35
571,6.14
572,42.51
573,9.27
574,10.27
575,5.07
576,6.03
577,137.42
578,4.09
579,13.6
580,10.89
581,7.92
582,2.1399999999999997
583,7.18
584,7.02
585,24.27
586,2.5700000000000003
587,18.59
588,13.31
589,1003.54
590,1.72
591,9.64
592,5.14
593,12.95
594,12.34
595,2.17
596,14.91
597,15.91
598,15.37
599,15.23
600,79.56
601,26.26
602,6.79
603,9.83
604,38.69
605,21.87
606,30.62
607,17.73
608,22.92
609,2.4299999999999997
610,14.58
611,33.71
612,5.03
613,70.1
614,4.779999999999999
615,4.8100000000000005
616,22.28
617,29.73
618,30.59
619,32.89
620,10.81
621,36.95
622,8.29
623,59.0
624,27.45
625,8.370000000000001
626,12.97
627,6.57
628,22.76
629,31.22
630,16.68
631,3.79
