COD,HA
1,11.16
2,5.81
3,64.47
4,1.72
5,8.120000000000001
6,26.38
7,1.95
8,6.15
9,7.48
10,100.03
11,21.23
12,17.48
13,1.34
14,19.89
15,245.04
16,26.29
17,3.23
18,6.02
19,13.06
20,129.5
21,18.41
22,217.5
23,21.53
24,6.44
25,3.57
26,28.67
27,1.8900000000000001
28,4.609999999999999
29,8.73
30,40.4
31,5.25
32,2.59
33,3.19
34,1.09
35,1.34
36,16.6
37,3.81
38,578.16
39,43.22
40,2.54
41,1.8399999999999999
42,3.13
43,3.66
44,25.03
45,5.87
46,1.01
47,59.16
48,11.84
49,1.01
50,1.01
51,15.29
52,2.75
53,4.65
54,6.62
55,6.91
56,4.6
57,26.86
58,2.48
59,1.01
60,218.31
61,24.22
62,19.05
63,25.5
64,6.4
65,22.17
66,1.01
67,30.62
68,1.01
69,1.01
70,4.95
71,6.7
72,21.54
73,11.28
74,1.01
75,4.43
76,1.03
77,16.29
78,1.01
79,5.68
80,14.42
81,5.92
82,5.21
83,17.55
84,36.63
85,3.79
86,3.61
87,4.65
88,6.57
89,22.16
90,8.74
91,9.71
92,1.01
93,602.77
94,40.27
95,4.140000000000001
96,8.2
97,2024.08
98,6.2
99,4.23
100,3.61
101,1.01
102,8.02
103,1.01
104,8.440000000000001
105,6.58
106,14.21
107,3.16
108,22.24
109,3.61
110,11.01
111,5.05
112,8.809999999999999
113,1.02
114,1.63
115,799.23
116,1.34
117,4.0600000000000005
118,30.04
119,12.72
120,9.98
121,9.62
122,1.03
123,1.71
124,12.66
125,269.36
126,6.57
127,1.21
128,1.1
129,1.18
130,11.78
131,12.95
132,1.01
133,50.74
134,30.07
135,1.03
136,2.88
137,1.33
138,6.15
139,1.22
140,39.89
141,1.08
142,1.3900000000000001
143,1.02
144,1.16
145,15.82
146,2.21
147,4.42
148,4.7
149,6.85
150,5.04
151,481.46
152,1.72
153,2.1799999999999997
154,24.45
155,7.57
156,5.23
157,6.77
158,2.44
159,3.3
160,9.46
161,5.77
162,6.6
163,18.22
164,1.03
165,29.37
166,1.07
167,13.02
168,1.37
169,1.04
170,1.07
171,16.4
172,4.42
173,2.98
174,8.190000000000001
175,21.13
176,5.13
177,38.33
178,9.2
179,1.01
180,1.04
181,1.22
182,71.39
183,1.02
184,13.18
185,5.78
186,2.71
187,1.02
188,21.71
189,4.15
190,66.61
191,6.84
192,4.24
193,2.45
194,2.71
195,2.8899999999999997
196,5.14
197,130.52
198,143.7
199,22.74
200,4.779999999999999
201,4.42
202,5370.66
203,3.17
204,13.54
205,2.8
206,6.3
207,1.02
208,4.77
209,7.29
210,63.71
211,1.13
212,14.87
213,7.92
214,3.42
215,1.02
216,9.29
217,42.44
218,6.4
219,82.09
220,2.88
221,7.76
222,12.69
223,9.41
224,13.79
225,4.35
226,13.51
227,11.98
228,10.81
229,4.75
230,8.469999999999999
231,13.16
232,8.46
233,18.19
234,1.04
235,2.17
236,141.54
237,9.36
238,29.96
239,4.51
240,3.15
241,19.89
242,2.98
243,22.61
244,6.32
245,5.41
246,3.43
247,8.379999999999999
248,21.53
249,18.53
250,9.89
251,14.4
252,4.6899999999999995
253,4.59
254,31.31
255,9.99
256,4.43
257,8.91
258,7.3
259,5.36
260,3.96
261,8.65
262,4.6
263,5.13
264,8.85
265,5.14
266,8.45
267,2.44
268,12.98
269,16.67
270,11.17
271,10.98
272,4.42
273,8.46
274,4.32
275,16.740000000000002
276,1.01
277,1.02
278,1.01
279,13.33
280,1.01
281,2.9699999999999998
282,1.03
283,1.03
284,1.01
285,6.3
286,5.24
287,34.14
288,1.01
289,4.23
290,5.95
291,1.01
292,8.17
293,60.78
294,237.14
295,1.72
296,6.76
297,12.61
298,6.21
299,2.71
300,2.5300000000000002
301,1.09
302,1.01
303,2.17
304,29.22
305,4.96
306,3.16
307,4.779999999999999
308,12.94
309,1.44
310,11.35
311,1.99
312,13.97
313,3.87
314,6.12
315,6.84
316,108.4
317,10.52
318,2.34
319,16.39
320,4.59
321,1.11
322,4.68
323,1.06
324,2.5300000000000002
325,9.92
326,41.32
327,6.57
328,35.82
329,4.24
330,2.26
331,5.61
332,59.51
333,3.16
334,11.55
335,9.89
336,2.98
337,5.76
338,21.4
339,6.39
340,4.59
341,66.26
342,38.04
343,3.8
344,27.03
345,13.39
346,13.23
347,4.32
348,4.42
349,6.22
350,3.15
351,10.8
352,2.65
353,36.61
354,15.01
355,2.3
356,2.98
357,13.87
358,1.99
359,7.38
360,14.39
361,28.08
362,5.22
363,2.71
364,1.29
365,3.33
366,3.43
367,3.7
368,32.75
369,1.72
370,14.84
371,242.57
372,15.93
373,7.66
374,6.93
375,340.65
376,14.31
377,3.52
378,4.4399999999999995
379,19.44
380,6.01
381,6.04
382,22.86
383,5.04
384,2.7199999999999998
385,59.85
386,74.51
387,7.02
388,22.03
389,3.33
390,7.76
391,13.39
392,19.45
393,33.54
394,16.990000000000002
395,1580.63
396,26.28
397,46.61
398,2.62
399,35.84
400,41.87
401,6.3
402,2.09
403,1386.49
404,3.79
405,1.54
406,6.68
407,9.9
408,7.02
409,52.87
410,8.55
411,3.7
412,75.09
413,12.25
414,809.24
415,6.03
416,5.67
417,10.53
418,3.97
419,3.35
420,39.95
421,16.03
422,74.95
423,14.48
424,4.87
425,20.33
426,3.15
427,24.99
428,3.62
429,1.01
430,90.51
431,1.01
432,97.55
433,4.42
434,19.33
435,1.01
436,1.04
437,37.25
438,10.25
439,2.71
440,62.09
441,2.62
442,3.07
443,7.84
444,5.67
445,107.13
446,19.09
447,4.51
448,7.83
449,190.13
450,52.65
451,3.32
452,4.42
453,11.43
454,3.7
455,10.35
456,5.94
457,8.57
458,16.65
459,9.1
460,2.44
461,23.28
462,2.8899999999999997
463,6.67
464,14.22
465,22.4
466,228.55
467,4.33
468,3.79
469,11.06
470,11.61
471,1.01
472,1.21
473,1.02
474,5.14
475,4.96
476,3.51
477,4.24
478,11.52
479,9.91
480,9.91
481,155.07
482,2.25
483,12.14
484,3.15
485,335.81
486,5.32
487,4161.46
488,29.73
489,44.22
490,82.62
491,3.87
492,6.31
493,4.59
494,5.68
495,8.27
496,25.46
497,4.96
498,5.94
499,8.2
500,24.81
501,12.79
502,6.93
503,7.83
504,83.92
505,13.13
506,1.54
507,7.56
508,51.98
509,50.67
510,2.8
511,64.62
512,7.19
513,2.98
514,3.16
515,6.49
516,4.95
517,4.87
518,9.71
519,4.859999999999999
520,16.189999999999998
521,7.48
522,1.9
523,1.63
524,4.6899999999999995
525,3.97
526,7.39
527,7.83
528,5.15
529,590.61
530,917.79
531,1.8900000000000001
532,15.74
533,138.0
534,2.8899999999999997
535,205.51
536,4.68
537,11.9
538,44.99
539,19.63
540,8.190000000000001
541,3.96
542,7.12
543,7.21
544,226.31
545,2.98
546,23.41
547,6.67
548,4.51
549,16.64
550,51.74
551,22.41
552,14.04
553,2.98
554,8.82
555,1.01
556,1.45
557,5.76
558,1.25
559,2.1399999999999997
560,9.17
561,18.08
562,49947.36
563,8.190000000000001
564,26.68
565,23.92
566,7.47
567,71.93
568,91.35
569,7.29
570,331.34
571,9.01
572,31.05
573,6.55
574,4.23
575,7.64
576,6.75
577,16.369999999999997
578,7.65
579,25.72
580,29.4
581,62.94
582,10.35
583,10.09
584,13.12
585,5.85
586,18.43
587,5.5
588,26.64
589,13.12
590,3.79
591,9.9
592,3.05
593,8.83
594,1.99
595,5.67
596,4.33
597,67.27
598,130.58
599,42.78
600,8.370000000000001
601,5.59
602,1.99
603,4.5
604,13.86
605,4.95
606,7.29
607,11.14
608,4.07
609,5.04
610,2.35
611,6.49
612,4.140000000000001
613,9.18
614,66.39
615,13.49
616,8.99
617,2.7
618,8.74
619,2.79
620,10.53
621,14.12
622,1.01
623,33.87
624,2.98
625,5.5
626,2.08
627,4.41
628,166.73
629,15.2
630,2.16
631,17.26
632,56.72
